From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
12251;10321;sea;8313;-1;-1;-1;-1;;Andaman
7413;1419;sea;5294;-1;-1;-1;-1;;Moluccas
10141;1419;sea;5267;-1;-1;-1;-1;;Moluccas
480;9431;sea;8621;-1;-1;-1;-1;;Netherlands outlier
299;211;sea;2282;-1;-1;-1;-1;;Småland-Öland
9279;6287;sea;2382;-1;-1;-1;-1;;Öresund 1
14841;6345;sea;2382;-1;-1;-1;-1;;Öresund 2
3260;3325;;2408;-1;-1;-1;-1;;Sjaelland-Fyn
3260;3374;;2408;-1;-1;2973;1625;;Sjaelland-SdFyn
3277;15075;;14839;-1;-1;-1;-1;;Fyn-Jylland
11251;15075;;14839;-1;-1;-1;-1;;Fyn-Sønderjylland
83;185;sea;1885;-1;-1;-1;-1;;Estonia-Ösel
185;6201;sea;1885;-1;-1;-1;-1;;Ösel-Dagö
83;6201;sea;1660;-1;-1;-1;-1;;Dagö-Estonia
6891;3838;sea;5579;-1;-1;-1;-1;;Sardinia-Corsica
9990;4159;sea;5681;-1;-1;-1;-1;;Calabria-Sicily
14575;9845;sea;8871;-1;-1;-1;-1;;Balearic Islands 1
9793;7114;sea;8845;-1;-1;-1;-1;;Balearic Islands 2
12299;12113;sea;5539;-1;-1;-1;-1;;Singapore-Batam
7396;1401;sea;5615;-1;-1;-1;-1;;Bangka Belitung-Sumatra
1342;10279;sea;2737;-1;-1;-1;-1;;Java-Sumatra
7396;4211;sea;4225;-1;-1;-1;-1;;Bangka-Belitung
4446;12126;sea;812;-1;-1;-1;-1;;Tanahbala-Sumatra
12126;1428;sea;812;-1;-1;-1;-1;;Tanahbala-Siberut
12126;14256;sea;436;-1;-1;-1;-1;;Tanahbala-Simeulue
14257;14256;sea;436;-1;-1;-1;-1;;Sumatra-Simeulue
4306;4608;sea;5666;-1;-1;-1;-1;;Soerbaja-Madura
7654;4273;sea;2239;-1;-1;-1;-1;;Java-Bali
7293;4273;sea;2239;-1;-1;-1;-1;;Bali-Lombok
7293;10191;sea;2239;-1;-1;-1;-1;;Lombok-W.Nusa Tenggara
12162;1298;sea;2124;-1;-1;-1;-1;;West Nusa Tenggara-East Nusa Tenggara
12151;10219;sea;5414;-1;-1;-1;-1;;East Nusa Tenggara-Pulau Alor
12444;10222;sea;5515;-1;-1;-1;-1;;Sulawesi-Pulau Buton
1293;4269;sea;8751;-1;-1;-1;-1;;Mindanao-Leyte
12118;1224;sea;8751;-1;-1;-1;-1;;Cebu-Leyte
7385;4269;sea;8751;-1;-1;-1;-1;;Bohol-Leyte
1311;4228;sea;2856;-1;-1;-1;-1;;San Bernardino Strait
4288;1221;sea;2876;-1;-1;-1;-1;;Mindoro-Batangas
4228;7307;sea;2876;-1;-1;-1;-1;;Ticao Pass
10302;1261;sea;2876;-1;-1;-1;-1;;Panay-Negros
7423;14677;sea;2876;-1;-1;-1;-1;;Panay-Romblon
10272;14677;sea;2876;-1;-1;-1;-1;;Mindoro-Romblon
10186;12153;sea;8751;-1;-1;-1;-1;;Negros-Cebu
